Index,Classifier,Word Vectors,Category,Accuracy,Precision,Recall,F1,"F0,5",F2,Train Time, Test Time
0,SVM,TF-IDF,background_motivation,0.8622076171216719,0.7649941158787119,0.8965741935483871,0.8252351406760152,0.7879373899686781,0.8665074029455322,9.66680669784546,1.297093629837036
1,SVM,TF-IDF,aim_contribution,0.8175134816312774,0.3989837037228806,0.7396618357487923,0.5165137403793407,0.4387534224297219,0.6295959624595395,2.9132838249206543,1.1379015445709229
2,SVM,TF-IDF,research_object,0.709881193124368,0.3476687324786804,0.7102591221575886,0.4651432888921789,0.3865891879246217,0.5855079548472151,3.7880547046661377,1.2648119926452637
3,SVM,TF-IDF,research_method,0.8160768452982812,0.4570511912710497,0.7896632996632997,0.5769110695662526,0.4982163626875289,0.6871711066810062,3.101288080215454,0.7339723110198975
4,SVM,TF-IDF,results_findings,0.7908350185372429,0.501300580389701,0.7714421613394216,0.606505695382781,0.538522051122855,0.6952236740148885,4.200272083282471,0.8979001045227051
5,SVM,TF-IDF,summary,0.7589442197505898,0.1729394980397678,0.6247692307692307,0.2693404728451321,0.2017671972529106,0.4068996601468715,1.100532293319702,0.4730818271636963
6,RandomForest,TF-IDF,background_motivation,0.8639357937310415,0.7595628184998127,0.917367741935484,0.8305048732441488,0.7863331982815861,0.880365032704697,73.87128853797913,1.036414384841919
7,RandomForest,TF-IDF,aim_contribution,0.8381277384563532,0.433152249702914,0.7373913043478261,0.5442743955303767,0.4715130506975116,0.6449765092166858,22.75146102905273,0.9109811782836914
8,RandomForest,TF-IDF,research_object,0.7351204920795416,0.3773338856511764,0.7184822845055526,0.491158194437208,0.4154671442521385,0.6043121178882394,46.72766542434693,0.9923689365386964
9,RandomForest,TF-IDF,research_method,0.8224317492416582,0.4685170780675006,0.7841414141414143,0.5851036755560686,0.5089117168603072,0.6895325770186886,37.06474232673645,1.690063238143921
10,RandomForest,TF-IDF,results_findings,0.8323078867542973,0.5772398686915443,0.7658866057838661,0.6565278658169523,0.6062413705408041,0.7174225837460618,41.252960205078125,1.131126880645752
11,RandomForest,TF-IDF,summary,0.7818579373104146,0.1978305573931159,0.6570769230769231,0.3023612517994281,0.2294920372206188,0.4451705413033808,14.556819677352903,0.9488747119903564
12,LSTM,TF-IDF,background_motivation,0.8183574879227054,0.7706666666666667,0.7391304347826086,0.7545691906005221,0.7641459545214173,0.745229499742135,0 days 00:03:21.662146,0 days 00:00:00.552329
13,LSTM,TF-IDF,aim_contribution,0.8772946859903382,0.543859649122807,0.4525547445255474,0.4940239043824701,0.5227655986509275,0.4682779456193353,0 days 00:03:21.662146,0 days 00:00:00.552329
14,LSTM,TF-IDF,research_object,0.8135265700483092,0.4397163120567376,0.3522727272727273,0.3911671924290221,0.418918918918919,0.3668639053254438,0 days 00:03:21.662146,0 days 00:00:00.552329
15,LSTM,TF-IDF,research_method,0.8685990338164251,0.5983606557377049,0.45625,0.5177304964539008,0.5632716049382717,0.479002624671916,0 days 00:03:21.662146,0 days 00:00:00.552329
16,LSTM,TF-IDF,results_findings,0.8502415458937198,0.6923076923076923,0.4714285714285714,0.5609065155807367,0.632992327365729,0.503560528992879,0 days 00:03:21.662146,0 days 00:00:00.552329
17,LSTM,TF-IDF,summary,0.914975845410628,0.3684210526315789,0.1794871794871795,0.2413793103448276,0.3043478260869565,0.2,0 days 00:03:21.662146,0 days 00:00:00.552329
